UBERON:0001830	UBERON:0001044
UBERON:0001496	UBERON:0001515
UBERON:0004991	UBERON:0000317
UBERON:0004993	UBERON:0000317
UBERON:0035825	UBERON:0001235
UBERON:0035827	UBERON:0001235
UBERON:0002810	UBERON:0001870
UBERON:0002167	UBERON:0002048
UBERON:0014890	UBERON:0002245
UBERON:0001625	UBERON:0001621
UBERON:0001626	UBERON:0001621
UBERON:0001233	UBERON:0002369
UBERON:0001234	UBERON:0002369
UBERON:0035834	UBERON:0002469
UBERON:0001828	UBERON:0003729
UBERON:0001302	UBERON:0003889
UBERON:0001303	UBERON:0003889
UBERON:0006919	UBERON:0006914
UBERON:0006920	UBERON:0006914

